万年青		强心利尿、清热解毒、止血的功效
西洋参		补气养阴、清热生津的功效，临床用于治疗气虚阴亏、内热、咳喘、虚热烦倦、口燥咽干
覆盆子		益肾、固精、缩尿的功效，临床用于治疗肾虚遗尿、小便频数、阳痿早泄、遗精滑精
还阳参		补肾壮阳、益气补血、健脾和胃、固经止带的功效，临床用于治疗性神经衰弱、妇人宫冷不孕等
钟乳石		温肺、助阳、平喘、制酸、通乳的功效，临床用于治疗寒痰喘咳、阳虚冷喘、腰膝冷痛、胃痛泛酸、乳汁不通
铃兰		温阳利水、活血祛风的功效
银耳		滋补生津、润肺养胃的功效
锁阳		补肾阳、益精血、润肠通便的功效，临床用于治疗腰膝痿软、阳痿滑精、肠燥便秘
锦鸡儿		滋阴、和血、健脾的功效，临床用于治疗劳热咳嗽等
阳起石		温肾壮阳的功效
阿胶		补血滋阴、润燥、止血的功效，临床用于治疗血虚萎黄、眩晕心悸、肌痿无力、心烦不眠、虚风内动、肺燥咳嗽、劳嗽咯血、吐血尿血、便血崩漏、妊娠胎漏
附子		回阳救逆、补火助阳、逐风寒湿邪的功效，临床用于治疗亡阳虚脱、肢冷脉微、阳痿、宫冷、心腹冷痛、虚寒吐泻、阴寒水肿、阳虚外感、寒湿痹痛
雪莲花		温肾壮阳、温经散寒、祛寒化痰、祛风除湿、止血的功效，临床用于治疗阳萎等
青羊参		补肾、镇痉、祛风湿的功效，临床用于治疗腰痛等
韭菜子		温补肝肾、壮阳固精的功效，临床用于治疗阳萎遗精、腰膝酸痛、遗尿尿频、白浊带下
饴糖		补气、补虚生津、润燥的功效，临床用于治疗里急腹痛、肺燥咳嗽等
鲈鱼		补虚功效
鲜地黄		清热生津、凉血、止血的功效，临床用于治疗热病伤阻、舌绛烦渴、发斑发疹、吐血、衄血、咽喉肿痛
鸡子		滋阴润燥、养血安胎的功效，临床用于治疗热病烦闷、燥咳声哑、目赤咽痛等
鸡血藤		补血、活血、通络的功效，临床用于治疗月经不调、血虚萎黄、麻木瘫痪、风湿痹痛
鸽		补益、祛风的功效，临床用于治疗妇女血虚经闭、消渴等
鹌鹑		补益的功效，临床用于治疗脾虚泻痢、小儿疳积、风湿痹证等
鹿茸		壮肾助阳、益精血、强筋骨、调冲任、托疮毒的功效，临床用于治疗阳痿滑精、宫冷不孕、赢瘦、神疲、畏寒、眩晕耳鸣耳聋、腰脊冷痛、筋骨痿软、崩漏带下、阴疽不敛
鹿角		温肾阳、强筋骨、行血消肿的功效，临床用于治疗阳痿遗精、腰脊冷痛、阴疽疮疡、乳痈初起、瘀血肿痛
鹿角胶		温补肝肾、益精养血的功效，临床用于治疗肝肾气不足所致的腰膝酸冷、阳痿遗精、虚劳羸瘦、崩漏下血、便血尿血、阴疽肿痛
麦冬		养阴生津、润肺清心的功效，临床用于治疗肺燥干咳、虚痨咳嗽、津伤口渴、心烦失眠、内热消渴、肠燥便秘、咽白喉
黄狗肾		补益的功效，临床用于治疗虚证
黄精		补气养阴、健脾、润肺、益肾的功效，用于脾胃虚弱、体倦乏力、口干食少、肺虚燥咳、精血不足、内热消渴
黄芪		补气固表、利尿托毒、排脓、敛疮生肌的功效，临床用于治疗气虚乏力、食少便溏、中气下陷、久泻脱肛、便血崩漏、表虚自汗、气虚水肿、痈疽难溃、久溃不敛、血虚痿黄、内热消渴、慢性肾炎蛋白尿、糖尿病
黑种草子		补肾健脑、通经、通乳、利尿作用；用于耳鸣健忘、经闭乳少、热淋、石淋
黑芝麻		补肝肾、益精血、润肠燥的功效，临床用于治疗头晕眼花、耳鸣耳聋、须发早白、病后脱发、肠燥便秘
龙眼		补血功效
龙眼肉		补益心脾、养血安神的功效，临床用于治疗气血不足、心悸怔忡、健忘失眠、血虚萎黄
龟甲		滋阴潜阳、益肾强骨、养血补心的功效，临床用于治疗阴虚潮热、骨蒸盗汗、头晕目眩、虚风内动、筋骨痿软、心虚健忘
龟甲胶		为龟科动物的龟甲经煎煮、浓缩制成的固体胶，有滋阴、养血、止血功效，临床用于治疗阴虚潮热、骨蒸盗汗、腰膝酸软，血虚萎黄、崩漏带下。
升药		搜脓拔毒、祛腐生肌的功效
博落回		消肿、解毒、杀虫的功效，临床用于治疗疔、脓肿等
大豆		健脾宽中、解毒消肿、利水消积的功效，临床用于治疗疳积、泻痢等
淡豆豉		解表、除烦、宣发郁热的功效，临床用于治疗感冒、寒热头痛、烦躁胸闷、虚烦不眠
烟草		行气止痛、解毒杀虫的功效，临床用于治疗食滞饱胀、气结疼痛等
番石榴		涩肠止泻、解毒止痛的功效，临床用于治疗痢疾、腹泻、湿毒等
白矾		为硫酸盐类矿物明矾石经加工提炼制成，主含含水硫酸铝钾。外用解毒杀虫、燥湿止痒，内服止血止泻、祛除风痰，外治用于湿疹、疥癣、聤耳流脓，内服用于久泻不止、便血、崩漏、癫痫发狂。枯矾收湿敛疮、止血化腐，用于湿疹湿疮、聤耳流脓、阴痒带下、鼻衄齿衄、鼻瘜肉。
硫黄		为自然元素类矿物硫族自然硫。采挖后，加热溶化，除去杂质，或用含硫矿物经加工制得。外用解毒杀虫疗疮，内服补火助阳通便，外治用于疥癣、秃疮、阴疽恶疮，内服用于阳痿足冷、虚喘冷哮、虚寒便秘。
胆矾		催吐、祛腐解毒的功效
臭牡丹		消肿解毒、祛风除湿、健脾除疳、养血平肝、消痔提肛的功效，临床用于治疗痈疽等
苘麻		解毒、祛风的功效，临床用于治疗关节酸痛等
苘麻子		清热利湿、解毒、退翳的功效，临床用于治疗赤白痢疾、淋病涩痛、痈肿、目翳
蓖麻子		消肿拔毒、泻下通滞的功效，临床用于治疗痈疽肿毒、喉痹、瘰疬、大便燥结
蟾酥		解毒、止痛、开窍醒神的功效，用于痈疽疔疮、咽喉肿痛、中暑神昏、腹痛吐泻
铅丹		解毒祛腐、收湿敛疮、坠痰镇惊的作用
雄黄		解毒杀虫、燥湿祛痰、截疟的功效，临床用于治疗痈肿疔疮、蛇虫咬伤、虫积腹痛、惊痫、疟疾
马铃薯		和胃健中、解毒消肿的功效，临床用于治疗胃痛、痈肿、湿疹等
麦饭石		解毒排脓的功效
黄药子		凉血降火、消瘿解毒的功效
黄连		清热燥湿、泻火解毒的功效，临床用于治疗湿热痞满、呕吐吞酸、泻痢、黄疸、高热神昏、心火亢盛、心烦不寐、血热吐衄、目赤、牙痛、消渴、痈肿疔疮，外治湿疹、湿疮、耳道流脓
黑蚂蚁		解毒消肿、祛风湿的功效
大头陈		驱风解表、清热燥湿的功效，临床用于治疗感冒头痛、腹痛泄泻、皮炎等
山芝麻		解表清热、消肿解毒的功效，临床用于治疗感冒发热、头痛
木贼		疏风热、退目翳的功效，临床用于治疗风热目赤、迎风流泪、目生云翳
柽柳		疏风散寒、解表止咳、升散透疹、祛风除湿、消痞解酒的功效，临床用于治疗麻疹难透、风疹身痒、感冒、咳喘等
桂枝		发汗解肌、温通经脉、助阳化气、平冲降气的功效，临床用于治疗风寒感冒、脘腹冷痛、血寒经闭、关节痹痛、痰饮、水肿、心悸、奔豚
桂皮		暖脾胃、散风寒、通血脉的功效，临床用于治疗腹冷胸满、呕吐噎膈、风湿痹痛等
桑叶		疏散风热、清肺润燥、清肝明目的功效，临床用于治疗风热感冒、肺热燥咳、头晕头痛、目赤昏花
水蜈蚣		疏风解毒、利湿退黄、消肿止痛的功效
浮萍		宣散风热、透疹、利尿的功效，用于麻疹不透、风疹瘙痒、水肿尿少
淡豆豉		解表、除烦、宣发郁热的功效，临床用于治疗感冒、寒热头痛、烦躁胸闷、虚烦不眠
灯盏细辛		祛风散寒、活血通络止痛的功效，临床用于治疗风寒湿痹痛、中风瘫痪、胸痹心痛、牙痛、感冒
牛蒡子		疏散风热、宣肺透疹、解毒利咽的功效，临床用于治疗风热感冒、咳嗽痰多、麻疹、风疹、咽喉肿痛、痄腮、丹毒、痈肿疮毒
牡荆叶		祛痰、止咳、平喘的功效，临床用于治疗咳喘、慢性支气管炎
生姜		解表散寒、温中止呕、化痰止咳的功效，用于风寒感冒，胃寒呕吐，寒痰咳嗽
白芷		散风除湿、通窍止痛、消肿排脓的功效，临床用于治疗感冒头痛、眉棱骨痛、鼻渊、牙痛、白带、疮疡肿痛
石上柏		辛温解表、祛风除湿的功效，临床用于治疗咽喉肿痛、目赤肿痛、肺热咳嗽等
石椒草		辛凉解表、活血祛瘀、行气止痛的功效，临床用于治疗感冒、肺炎、支气管炎等
紫苏叶		解表散寒、行气和胃的功效，临床用于治疗风寒感冒、咳嗽呕恶、妊娠呕吐、鱼蟹中毒
细香葱		发表散寒、祛风胜湿、解毒消肿的功效
芫荽		发汗解表、宣透麻疹、消食下气的功效，临床用于治疗麻疹透发不利、食物积滞
荆芥		解表散风、透疹的功效，临床用于治疗感冒、头痛、麻疹、风疹、疮疡初起收涩止血的功效，用于治疗便血、崩漏、产后血晕解表散风、透疹功效，用于治疗感冒、头痛、麻疹、风疹、疮疡初起收涩止血功效，用于治疗便血、崩漏、产后血晕
菊花		散风清热、平肝明目的功效，临床用于治疗风热感冒、头痛眩晕、目赤肿痛、眼目昏花
落新妇		辛凉解表、活血祛瘀、止痛、解毒的功效，临床用于治疗风热感冒、头身疼痛等
葱白		辛温解表的功效
蓝桉		清热解毒、辛温解表的功效，临床用于治疗风湿病等
蔓荆子		疏散风热、清利头目的功效，临床用于治疗风热感冒头痛、齿龈肿痛、目赤多泪、目暗不明、头晕目眩
薄荷		宣散风热、清头目、透疹的功效，临床用于治疗风热感冒、风温初起、头痛、目赤、喉痹、口疮、风疹、麻疹、胸胁胀闷
藁本		祛风、散寒、除湿、止痛的功效，用于风寒感冒、巅顶疼痛、风湿肢节痹痛
蝉蜕		散风除热、利咽、透疹、退翳、解痉的功效，临床用于治疗风热感冒、咽痛、音哑、麻疹瘙痒、目赤翳障、惊风抽搐、破伤风
西河柳		散风、解表、透疹的功效，临床用于治疗麻疹不透、风湿痹痛
辛夷		散风寒、通鼻窍的功效，临床用于治疗风寒头痛、鼻塞、鼻渊、鼻流浊涕
零陵香		祛风寒、辟秽浊的功效，临床用于治疗伤寒等
香茅		疏风解表、祛瘀通脉的功效
鱼香草		疏散风热、消肿毒、清肝明目、凉血止血的功效，临床用于治疗伤风感冒等
麻黄		发汗散寒、宣肺平喘、利水消肿的功效，临床用于治疗风寒感冒、胸闷喘咳、风水浮肿、支气管哮喘
急性子		破血软坚、消积的功效，临床用于治疗癥瘕痞块、经闭、噎膈
木鳖子		散结消肿、攻毒疗疮的功效，临床用于治疗疮疡肿毒、乳痈、瘰疬、痔漏、秃疮
橄榄核		行气止痛的功效，临床用于治疗诸鱼骨鲠、胃痛、疝气等
海胆		软坚散结、化痰消肿的功效
海藻		软坚散结、消痰、利水的功效，用于瘿瘤、瘰疬、睾丸肿痛、痰饮水肿
猫爪草		散结、消肿的功效，临床用于治疗瘰疬未溃，淋巴结结核
玄明粉		泻热通便、润燥软坚、清火消肿的功效，临床用于实热便秘、大便燥结、积滞腹痛，外治咽喉肿痛、口舌生疮、牙龈肿痛、目赤、痈肿、丹毒
瓦楞子		消痰化瘀、软坚散结、制酸止痛的功效，临床用于治疗顽痰积结、黏稠难咯、瘿瘤、瘰疬、癥瘕痞块、胃痛泛酸
芒硝		泻热通便、润燥软坚、清火消肿的功效，临床用于治疗实热便秘、大便燥结、积滞腹痛、肠痈肿痛，外治乳痈、痔疮肿痛
蛤壳		清热化痰、软坚散结、制酸止痛的功效，临床用于治疗痰火咳嗽、胸胁疼痛、痰中带血、瘰疬瘿瘤、胃痛吞酸，外治湿疹、烫伤
蜥蜴		消瘿散瘰的功效
升麻		发表透疹、清热解毒、升举阳气的功效，临床用于治疗风热头痛、齿痛、口疮、咽喉肿痛、麻疹不透、阳毒发斑、脱肛、子宫脱垂
柴胡		和解表里、疏肝、升阳的功效，临床用于治疗感冒发热、寒热往来、胸胁胀痛、月经不调、子宫脱垂、脱肛
独活		祛风除湿、通痹止痛的功效，临床用于治疗风寒湿痹、腰膝酸痛、少阴伏风头痛
羌活		散寒、祛风、止痛的功效，临床用于治疗风寒感冒头痛、风湿痹痛、肩背酸痛
葛根		解肌退热、生津、透疹、升阳止泻的功效，临床用于治疗外感发热头痛、项背强痛、口渴、消渴、麻疹不透、热痢、泄泻、高血压颈项强痛
防风		解表祛风、胜湿、止痉的功效，临床用于治疗感冒头痛、风湿痹痛、风疹瘙痒、破伤风
使君子		杀虫消积的功效，临床用于治疗蛔虫、蛲虫病、虫积腹痛、小儿疳积
南瓜子		驱虫、利尿、止咳的功效，临床用于治疗绦虫、蛔虫等
南鹤虱		杀虫消积的功效，临床用于治疗蛔虫、蛲虫、绦虫病、虫积腹痛、小儿疳积
土荆芥		祛风、杀虫、通经、止痛的功效，临床用于治疗风湿痹痛、虫证等
松香		祛风、燥湿、清热解毒、生肌、止痛、驱虫的功效，临床用于治疗痈疽、疔毒等
枫杨		杀虫止痒、祛风止痛的功效，临床用于治疗龋齿痛等
榧子		杀虫消积、润燥通便的功效，临床用于治疗钩虫、蛔虫、绦虫、虫积腹痛、小儿疳积、大便秘结
樟脑		通窍、杀虫、止痛、辟秽的功效，临床用于治疗心腹胀痛、脚气、疮疡疥癣等
牵牛子		泻水通便、消痰涤饮、杀虫攻积的功效，临床用于治疗水肿胀满、二便不通、痰饮积聚、气逆喘咳、虫积腹痛、蛔虫、绦虫病
皂角刺		消肿托毒、排脓、杀虫的功效，临床用于治疗痈疽初起或脓成不溃，外治疥癣麻风
石榴皮		涩肠止泻、止血、驱虫的功效，临床用于治疗久泻、久痢、便血、脱肛、崩漏、白带、虫积腹痛
芜荑		杀虫、消积、散寒止泻的功效，临床用于治疗虫积腹痛、小儿疳泻
苍耳子		散风除湿、通鼻窍的功效，临床用于治疗风寒头痛、鼻渊流涕、风疹瘙痒、湿痹拘挛
苦楝皮		驱虫、疗癣的功效，临床用于治疗蛔蛲虫病、虫积腹痛，外治疥癣瘙痒
莨菪		杀虫止痒、解毒杀疟、镇痛解痉的功效，临床用于治疗疥癣、虫疾
阿魏		消积、散痞、杀虫的功效，临床用于治疗瘀血癥瘕、腹中痞块、虫积腹痛
雷丸		杀虫消积的功效，用于绦虫、钩虫、蛔虫病、虫积腹痛、小儿疳积
鹤草芽		杀虫的功效，临床用于治疗绦虫病
鹤虱		杀虫消积的功效，临床用于治疗蛔虫、蛲虫、绦虫病、虫积腹痛、小儿疳积
鹧鸪菜		杀虫的功效，临床用于治疗蛔虫病、虫疳
三分三		麻醉镇痛的功效，临床用于治疗胃痛、骨折、风湿痛
洋金花		平喘止咳、镇痛、解痉的功效，临床用于治疗哮喘咳嗽、脘腹冷痛、风湿痹痛、小儿慢惊、外科麻醉
